T:2021-08-02 11:59:20.155000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.978, NoOfMarkers: 8, m1: (63314,63339) , m2: (68880,63389) , m3: (66186,63512) , m4: (46675,94243) , m5: (129196,110012) , m6: (94882,111831) 
T:2021-08-02 11:59:20.562000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.983, NoOfMarkers: 4, m1: (63320,63349) , m2: (68888,63400) , m3: (66194,63528) , m4: (41987,100616) , m5: (120277,108917) , m6: (116896,116423) 
T:2021-08-02 11:59:21.063000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.993, NoOfMarkers: 9, m1: (63321,63364) , m2: (68888,63411) , m3: (66193,63547) , m4: (75466,98456) , m5: (111983,103181) , m6: (110479,105957) 
T:2021-08-02 11:59:21.157000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.993, NoOfMarkers: 9, m1: (63321,63364) , m2: (68888,63411) , m3: (66193,63547) , m4: (75466,98456) , m5: (111983,103181) , m6: (110479,105957) 
T:2021-08-02 11:59:21.568000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 5.006, NoOfMarkers: 9, m1: (63349,63362) , m2: (68918,63410) , m3: (66226,63544) , m4: (8835,98062) , m5: (94184,109986) , m6: (115048,110676) 
T:2021-08-02 11:59:22.068000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 8, m1: (63379,63318) , m2: (68948,63362) , m3: (66263,63476) , m4: (107189,97420) , m5: (84525,100211) , m6: (117417,124892) 
T:2021-08-02 11:59:22.070000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 8, m1: (63379,63318) , m2: (68948,63362) , m3: (66263,63476) , m4: (107189,97420) , m5: (84525,100211) , m6: (117417,124892) 
T:2021-08-02 11:59:22.569000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 9, m1: (63332,63300) , m2: (68903,63341) , m3: (66206,63451) , m4: (112586,95652) , m5: (53058,99217) , m6: (67487,107473) 
T:2021-08-02 11:59:23.068000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63326,63308) , m2: (68895,63355) , m3: (66196,63478) , m4: (85723,105023) , m5: (123679,111184) , m6: (57289,117952) 
T:2021-08-02 11:59:23.572001, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 5, m1: (63322,63366) , m2: (68891,63414) , m3: (66192,63543) , m4: (120971,122399) , m5: (116675,126333) , m6: (94372,106747) 
T:2021-08-02 11:59:24.072000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63325,63367) , m2: (68893,63415) , m3: (66194,63540) , m4: (88399,103424) , m5: (67500,107474) , m6: (91255,121997) 
T:2021-08-02 11:59:24.573000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63329,63385) , m2: (68897,63436) , m3: (66197,63561) , m4: (95024,99662) , m5: (128133,105561) , m6: (110469,112081) 
T:2021-08-02 11:59:25.074000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63334,63408) , m2: (68904,63459) , m3: (66204,63588) , m4: (124740,101369) , m5: (99864,101518) , m6: (101418,126186) 
T:2021-08-02 11:59:25.579000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63333,63404) , m2: (68902,63455) , m3: (66203,63586) , m4: (127569,100133) , m5: (126102,107195) , m6: (128429,121494) 
T:2021-08-02 11:59:26.071000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63362,63406) , m2: (68931,63458) , m3: (66237,63583) , m4: (112393,101239) , m5: (101779,101903) , m6: (93003,112013) 
T:2021-08-02 11:59:26.574000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 5.014, NoOfMarkers: 5, m1: (63347,63389) , m2: (68917,63441) , m3: (66223,63562) , m4: (99667,95343) , m5: (128442,124752) , m6: (90495,110393) 
T:2021-08-02 11:59:27.072999, MarkersValid: True, TrolleyPos: 28.290, Hoistpos: 4.915, NoOfMarkers: 6, m1: (63341,63382) , m2: (68903,63439) , m3: (66209,63577) , m4: (117522,99788) , m5: (114018,103606) , m6: (95505,117470) 
T:2021-08-02 11:59:27.576000, MarkersValid: True, TrolleyPos: 28.281, Hoistpos: 4.782, NoOfMarkers: 9, m1: (63318,63455) , m2: (68878,63511) , m3: (66185,63668) , m4: (129202,99056) , m5: (98550,101452) , m6: (114089,102423) 
T:2021-08-02 11:59:27.579000, MarkersValid: True, TrolleyPos: 28.281, Hoistpos: 4.782, NoOfMarkers: 9, m1: (63318,63455) , m2: (68878,63511) , m3: (66185,63668) , m4: (129202,99056) , m5: (98550,101452) , m6: (114089,102423) 
T:2021-08-02 11:59:28.075000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.718, NoOfMarkers: 5, m1: (63330,63435) , m2: (68891,63486) , m3: (66196,63651) , m4: (129146,93145) , m5: (97302,125414) , m6: (103215,124163) 
T:2021-08-02 11:59:28.157000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.718, NoOfMarkers: 5, m1: (63330,63435) , m2: (68891,63486) , m3: (66196,63651) , m4: (129146,93145) , m5: (97302,125414) , m6: (103215,124163) 
T:2021-08-02 11:59:28.579000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.721, NoOfMarkers: 5, m1: (63318,63434) , m2: (68876,63487) , m3: (66180,63642) , m4: (104676,115797) , m5: (124813,115704) , m6: (104719,115475) 
T:2021-08-02 11:59:29.079000, MarkersValid: True, TrolleyPos: 28.280, Hoistpos: 4.721, NoOfMarkers: 5, m1: (63317,63466) , m2: (68876,63521) , m3: (66177,63672) , m4: (88016,96925) , m5: (98771,116132) , m6: (114819,118360) 
T:2021-08-02 11:59:29.581000, MarkersValid: True, TrolleyPos: 28.288, Hoistpos: 4.721, NoOfMarkers: 5, m1: (63319,63435) , m2: (68878,63490) , m3: (66186,63659) , m4: (96065,112304) , m5: (67377,119476) , m6: (100208,104670) 
T:2021-08-02 11:59:30.079000, MarkersValid: False, TrolleyPos: 28.287, Hoistpos: 4.722, NoOfMarkers: 3, m1: (63289,63437) , m2: (68849,63492) , m3: (66151,63648) , m4: (117665,116375) , m5: (107571,116615) , m6: (67382,120115) 
T:2021-08-02 11:59:30.158000, MarkersValid: False, TrolleyPos: 28.287, Hoistpos: 4.722, NoOfMarkers: 3, m1: (63289,63437) , m2: (68849,63492) , m3: (66151,63648) , m4: (117665,116375) , m5: (107571,116615) , m6: (67382,120115) 
T:2021-08-02 11:59:30.581000, MarkersValid: True, TrolleyPos: 28.281, Hoistpos: 4.722, NoOfMarkers: 11, m1: (63286,63494) , m2: (68846,63546) , m3: (66151,63715) , m4: (80006,100302) , m5: (117867,105475) , m6: (123452,107907) 
T:2021-08-02 11:59:31.085000, MarkersValid: True, TrolleyPos: 28.288, Hoistpos: 4.722, NoOfMarkers: 6, m1: (63275,63456) , m2: (68835,63512) , m3: (66139,63670) , m4: (108005,113927) , m5: (46442,122650) , m6: (94098,123756) 
T:2021-08-02 11:59:31.159000, MarkersValid: True, TrolleyPos: 28.288, Hoistpos: 4.722, NoOfMarkers: 6, m1: (63275,63456) , m2: (68835,63512) , m3: (66139,63670) , m4: (108005,113927) , m5: (46442,122650) , m6: (94098,123756) 
T:2021-08-02 11:59:31.586000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.722, NoOfMarkers: 5, m1: (63278,63469) , m2: (68838,63526) , m3: (66140,63678) , m4: (116723,108416) , m5: (92636,124551) , m6: (53961,116596) 
T:2021-08-02 11:59:32.086000, MarkersValid: True, TrolleyPos: 28.283, Hoistpos: 4.723, NoOfMarkers: 4, m1: (63278,63490) , m2: (68836,63545) , m3: (66141,63709) , m4: (44171,108685) , m5: (99899,119091) , m6: (64374,111893) 
T:2021-08-02 11:59:32.594000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.723, NoOfMarkers: 9, m1: (63275,63446) , m2: (68834,63503) , m3: (66137,63656) , m4: (100510,95449) , m5: (129713,104161) , m6: (119893,109161) 
T:2021-08-02 11:59:32.596000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.723, NoOfMarkers: 9, m1: (63275,63446) , m2: (68834,63503) , m3: (66137,63656) , m4: (100510,95449) , m5: (129713,104161) , m6: (119893,109161) 
T:2021-08-02 11:59:33.086000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.726, NoOfMarkers: 4, m1: (63272,63464) , m2: (68835,63522) , m3: (66135,63672) , m4: (107702,119667) , m5: (116129,109426) , m6: (75684,128028) 
T:2021-08-02 11:59:33.159000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.726, NoOfMarkers: 4, m1: (63272,63464) , m2: (68835,63522) , m3: (66135,63672) , m4: (107702,119667) , m5: (116129,109426) , m6: (75684,128028) 
T:2021-08-02 11:59:33.595000, MarkersValid: True, TrolleyPos: 28.283, Hoistpos: 4.728, NoOfMarkers: 6, m1: (63262,63490) , m2: (68822,63545) , m3: (66124,63711) , m4: (101183,96482) , m5: (102736,107864) , m6: (86020,111022) 
T:2021-08-02 11:59:34.098000, MarkersValid: True, TrolleyPos: 28.288, Hoistpos: 4.730, NoOfMarkers: 6, m1: (63258,63455) , m2: (68820,63512) , m3: (66119,63668) , m4: (99978,105932) , m5: (86612,107405) , m6: (114740,125879) 
